"Code";"Biotope_type";"Windfalls";"BioLegacy";"Understory";"Complexity";"LiveTrees";"Total_Rich";"Total_Abun";"Specialist_Rich";"Generalist_Rich";"Canopy_Rich";"Ground_Shrub_Rich";"Generalist_Abun";"Specialist_Abun";"Canopy_Abun";"Cavity_Abun";"Ground_Shrub_Abun";"Elev";"Cavity_Rich";"Rarity_index";"RedList_Rich";"RedList_Abun"
"1";"LSD";97.62117226;97.62117226;35;1;58.96425619;3;4;0;3;0;3;4;0;0;0;4;1244.530029;0;0.03343949;0;0
"2";"LSD";94.29194659;94.29194659;80;1;56.73317622;3;3;0;3;0;3;3;0;0;0;3;1252.593018;0;0.03343949;0;0
"3";"LSD";83.43814929;83.43814929;70;1;81.91250724;4;4;0;4;0;4;4;0;0;0;4;1245.495972;0;0.039808917;0;0
"7";"NDF";0;0.062264497;20;1;403.188022;10;10;4;6;3;3;6;4;3;4;3;957.557007;4;0.291401274;0;0
"8";"NDF";0;0;25;1;407.9689077;7;8;3;4;2;3;5;3;3;2;3;925.474976;2;0.292993631;0;0
"9";"NDF";0;0.709771931;0;1;373.8652568;9;11;4;5;4;3;7;4;5;2;4;921.041016;2;0.410828025;0;0
"11";"SSD";9.12575905;43.5506827;60;8;276.6539155;14;19;6;8;5;7;10;9;5;3;11;926.596008;2;1.332802548;1;3
"12";"SSD";12.26295156;20.22063186;50;7;327.3313033;10;10;2;8;3;5;8;2;3;2;5;918.044006;2;0.146496815;0;0
"13";"NDF";0;1.691697265;10;4;280.1598983;10;10;5;5;4;4;5;5;4;2;4;905.781982;2;0.5;0;0
"14";"SSD";5.318654619;17.25481908;75;4;260.7176301;12;14;4;8;2;7;9;5;2;4;8;900.617981;3;0.305732484;0;0
"15";"NDF";0;1.307188597;0;1;357.9289713;13;15;5;8;5;5;8;7;7;3;5;918.976013;3;0.636942675;0;0
"16";"SSD";1.592931675;51.77768294;35;6;258.1678244;12;12;4;8;5;4;8;4;5;3;4;897.083008;3;0.386942675;0;0
"17";"SSD";1.760742713;56.76773323;70;8;200.1597453;12;13;4;8;3;6;9;4;3;3;7;874.403992;3;0.407643312;0;0
"18";"SSD";16.20345216;81.76004716;70;9;94.02408419;15;18;3;12;4;6;15;3;4;5;9;859.075989;5;0.211783439;0;0
"19";"SSD";9.03261763;93.5440823;85;5;89.56192426;14;15;3;11;3;6;12;3;3;4;7;876.328003;4;0.329617834;0;0
"20";"NDF";0;3.677736363;0;1;293.8651038;7;7;4;3;3;2;3;4;3;2;2;874.734985;2;0.187898089;0;0
"21";"SSD";0.567620199;22.66195836;35;6;312.3511949;15;16;5;10;5;7;11;5;6;3;7;906.184021;3;0.455414013;0;0
"22";"NDF";0;0.429444173;10;1;286.5344125;11;13;5;6;5;4;7;6;7;2;4;912.247986;2;0.302547771;0;0
"23";"SSD";2.02516008;39.5844291;70;9;338.8054288;17;22;7;10;4;6;12;10;7;8;7;828.557983;7;1.705414013;1;1
"24";"SSD";4.311362171;30.41980524;70;8;385.3393823;12;16;4;8;5;5;12;4;6;2;8;835.742981;2;0.22133758;0;0
"25";"SSD";0;55.71311041;50;10;320.6380634;14;15;5;9;5;5;9;6;5;5;5;838.39502;4;0.364649682;0;0
"27";"NDF";0;0.135733587;3;1;384.0644795;10;13;6;4;5;1;6;7;6;5;2;833.622009;4;0.624203822;0;0
"29";"SSD";12.30379301;81.10405776;40;2;235.2195733;10;12;2;8;2;6;10;2;2;2;8;870.89801;2;0.117834395;0;0
"30";"SSD";3.758769244;82.74019924;80;1;240.000459;7;10;1;6;0;6;9;1;0;1;9;880.5;1;0.098726115;0;0
"31";"NDF";0;17.32758724;10;4;334.6619946;11;12;5;6;6;3;7;5;6;2;4;865.487;2;0.546178344;0;0
"32";"SSD";7.941727233;29.60461534;70;10;321.2755148;13;17;3;10;3;6;13;4;4;5;8;892.237976;4;0.296178344;0;0
"33";"NDF";0;0.920652492;10;1;345.179943;7;8;4;3;2;3;3;5;3;2;3;884.901978;2;0.211783439;0;0
"34";"NDF";0;0.297163688;0;1;273.1479327;11;12;5;6;4;5;6;6;4;3;5;915.450989;2;0.445859873;0;0
"36";"SSD";0;41.39229667;20;7;321.5942405;9;12;3;6;3;4;8;4;3;3;6;1144.417969;2;0.345541401;0;0
"37";"SSD";3.274889239;39.97609201;10;8;301.1957951;7;9;2;5;2;4;7;2;3;1;5;1167.850952;1;0.156050955;0;0
"39";"NDF";0;0.750435477;0;1;345.179943;8;10;2;6;3;4;8;2;4;1;5;1167.944946;1;0.246815287;0;0
"40";"NDF";0;1.533904027;0;4;389.1640908;8;11;3;5;3;3;6;5;4;2;4;1036.615967;1;0.366242038;0;0
"41";"NDF";0;0.062264497;0;1;393.6262508;9;10;3;6;3;4;7;3;4;2;4;976.161011;2;0.332802548;0;0
"42";"LSD";14.34200208;52.60103445;55;1;231.7135905;6;8;1;5;0;5;6;2;0;2;6;1211.543945;1;0.098726115;0;0
"43";"LSD";0;95.01910464;5;1;41.43434219;6;7;1;5;0;4;6;1;0;2;5;1277.248047;2;1.039808917;1;1
"44";"LSD";37.47727641;46.03859195;50;1;152.6696147;8;8;2;6;1;5;6;2;1;2;5;1279.775024;2;0.23566879;0;0
"45";"SSD";0;43.52458306;60;8;346.4548458;10;14;3;7;3;5;8;6;4;4;6;1122.666016;2;0.194267516;0;0
"46";"LSD";0;86.35203588;50;1;100.3985984;6;7;1;5;0;5;6;1;0;1;6;1132.881958;1;0.098726115;0;0
"48";"NDF";0;0.751932059;0;1;411.7936162;8;10;3;5;3;3;6;4;3;3;4;965.153015;2;0.25477707;0;0
"49";"SSD";0;34.98480906;5;5;180.7174771;8;9;2;6;3;4;7;2;3;1;5;999.617981;1;0.288216561;0;0
"50";"SSD";2.959959876;67.02825831;5;4;152.350889;7;8;1;6;0;5;7;1;0;2;6;1144.151001;2;0.183121019;0;0
"51";"NDF";0;3.304056297;10;2;352.82936;6;8;3;3;2;2;4;4;2;3;3;1111.255981;2;0.98089172;1;1
"52";"NDF";0;9.320543189;5;1;296.0961838;7;8;4;3;2;3;4;4;3;2;3;1035.008057;2;0.187898089;0;0
"53";"SSD";0;84.072257;10;4;76.8128959;12;16;3;9;4;5;11;5;7;3;6;1172.387939;3;0.328025478;0;0
"54";"LSD";0;58.41980942;5;8;126.8528322;7;9;4;3;2;3;3;6;2;2;5;1209.27002;2;2.186305732;2;4
"55";"LSD";0;85.68731919;0;5;126.8528322;5;6;1;4;1;3;5;1;2;1;3;1248.792969;1;0.119426752;0;0
"56";"LSD";1.762586214;75.33135485;10;5;116.6536095;10;11;3;7;3;5;7;4;3;3;5;1233.508057;2;0.425159236;0;0
"57";"LSD";2.870903544;56.59255881;5;6;195.060134;11;12;4;7;2;7;7;5;3;2;7;1211.485962;2;1.257961783;1;1
"58";"SSD";0;59.05970817;4;7;166.3748202;12;12;3;9;3;5;9;3;3;4;5;1187.889038;4;0.415605096;0;0
"59";"ELT";0;12.68445837;0;4;217.6896593;12;12;4;8;5;5;8;4;5;2;5;1142.199951;2;0.347133758;0;0
"60";"ELT";0;37.91218059;0;1;302.470698;6;7;2;4;2;2;5;2;2;2;3;1236.685059;2;0.106687898;0;0
"61";"ELT";0;49.60978997;0;1;206.5342595;9;10;4;5;4;3;6;4;5;2;3;1192.975952;2;0.584394904;0;0
"62";"NDF";0;9.724871127;0;2;304.3830522;9;12;3;6;3;4;8;4;6;2;4;1224.126953;2;1.071656051;1;1
"63";"ELT";0.263218703;41.0267039;0;1;280.478624;6;6;1;5;2;3;5;1;2;1;3;1139.561035;1;0.066878981;0;0
"64";"ELT";0;12.44329243;0;1;370.6779997;9;12;4;5;4;4;7;5;6;2;4;1208.697021;1;1.353503185;1;1
"65";"SSD";0;50.81464719;35;2;225.0203506;6;9;1;5;1;4;7;2;1;2;6;1024.052002;1;0.092356688;0;0
"66";"SSD";0;40.83223314;20;10;290.6778467;9;14;5;4;4;3;6;8;6;4;4;997.489014;2;0.434713376;0;0
"67";"NDF";0;6.18263204;5;1;312.6699206;10;14;4;6;5;3;8;6;6;3;5;1025.204956;2;1.044585987;1;2
"68";"NDF";0;18.30510015;35;10;367.8094683;8;11;4;4;4;2;5;6;5;3;3;1041.777954;2;0.385350318;0;0
"69";"ELT";0;27.22987469;10;5;283.3471554;11;12;3;8;5;5;8;4;6;1;5;1081.453003;1;0.418789809;0;0
"70";"SSD";0;78.27983135;10;5;153.6257918;9;11;2;7;2;6;8;3;3;1;7;1088.894043;1;0.374203822;0;0
"71";"ELT";0;17.32255819;0;2;185.4983627;9;10;3;6;3;3;7;3;3;3;4;1030.310059;3;0.195859873;0;0
"72";"SSD";1.798109667;48.87174324;35;6;160.000306;9;10;5;4;4;3;4;6;5;2;3;1049.64502;2;0.460191083;0;0
"73";"NDF";0;4.980566493;0;1;410.5187133;7;10;3;4;1;3;6;4;2;4;4;1099.97998;3;0.310509554;0;0
"74";"SSD";0;57.32730077;20;7;193.4665054;13;17;3;10;4;7;12;5;6;1;9;1025.781006;1;0.372611465;0;0
"75";"SSD";0;52.82212874;25;8;243.5064418;11;12;2;9;4;5;10;2;4;2;6;1033.18396;2;0.132165605;0;0
"76";"ELT";0;19.24460715;30;6;234.5821219;10;11;2;8;3;6;9;2;3;1;7;1006.828003;1;0.149681529;0;0
"79";"LSD";0;91.6550879;15;9;135.1397007;8;11;3;5;2;4;7;4;3;2;6;1036.074951;2;0.297770701;0;0
"80";"ELT";0;51.4458672;10;3;220.5581907;8;9;2;6;4;3;7;2;4;1;4;1036.463989;1;0.160828025;0;0
"81";"LSD";0;74.62885283;55;8;139.6018606;8;12;3;5;3;4;7;5;4;2;6;1043.779053;1;0.380573248;0;0
"82";"ELT";1.835887569;22.95096369;20;5;196.9724882;9;11;4;5;4;3;6;5;5;3;3;1079.08606;2;0.420382166;0;0
"83";"LSD";3.7979004;74.33621737;15;6;161.5939345;9;9;3;6;2;5;6;3;2;2;5;1094.003052;2;0.208598726;0;0
"84";"ELT";0;47.44560154;15;6;179.7612999;12;15;5;7;5;4;7;8;8;3;4;1092.541016;3;0.718152866;0;0
"85";"NDF";0;17.24627167;50;4;260.0801786;8;10;4;4;5;1;6;4;6;2;2;1026.215942;2;0.431528662;0;0
"86";"ELT";0;61.15105163;40;1;178.8051228;11;12;4;7;5;4;7;5;6;2;4;1076.276001;2;0.452229299;0;0
"87";"SSD";2.201450959;94.92769734;50;3;135.7771521;10;11;3;7;2;4;7;4;2;5;4;855.781982;4;1.02388535;1;1
"88";"SSD";48.08947786;70.96189783;75;7;233.3072191;9;10;1;8;1;5;9;1;1;3;6;817.94397;3;0.082802548;0;0
"89";"NDF";0;7.683634925;20;2;423.5864674;9;11;4;5;5;3;6;5;7;1;3;843.052979;1;0.48566879;0;0
"90";"NDF";0;15.97716386;60;4;285.8969611;11;14;1;10;3;5;13;1;4;4;6;802.125;3;0.25955414;0;0
"91";"NDF";0.681009064;3.409195525;0;1;434.1044158;12;14;4;8;4;4;9;5;6;4;4;821.15802;4;0.386942675;0;0
"92";"SSD";0.256002748;77.30994225;15;2;73.3069131;9;10;2;7;1;5;8;2;2;3;5;897.077026;3;0.285031847;0;0
"93";"SSD";0;82.64876699;0;1;33.14747375;9;9;1;8;2;4;8;1;2;3;4;859.994995;3;0.98089172;2;2
"95";"NDF";0;1.442013651;0;1;333.7058174;10;16;3;7;2;4;11;5;3;9;4;789.614258;4;1.308917197;1;1
"96";"ELT";1.532165357;6.322871362;1;2;236.1757505;12;15;6;6;4;4;6;9;5;6;4;1164.444946;4;1.337579618;1;1
"97";"NDF";0;3.841264931;0;1;437.6103986;8;9;2;6;3;4;6;3;3;2;4;1171.489014;1;0.157643312;0;0
"99";"ELT";0;0.70454176;1;1;391.0764451;9;11;3;6;4;4;8;3;5;1;5;1087.157959;1;0.25477707;0;0
"100";"ELT";0;8.364230347;0;1;476.4949351;8;11;4;4;5;1;7;4;7;2;2;1212.394043;2;0.343949045;0;0
"101";"ELT";0;1.025303808;3;1;430.9171587;9;11;4;5;5;2;6;5;5;3;3;1194.657959;2;0.351910828;0;0
"102";"LSD";11.65262939;78.52786586;25;3;203.3470024;11;13;5;6;4;4;7;6;4;4;5;1146.312012;3;1.055732484;1;1
"103";"LSD";73.87026977;100;35;1;33.14747375;10;13;1;9;2;7;12;1;2;1;10;1197.996948;1;0.160828025;0;0
"104";"NDF";0;0;0;1;429.0048045;8;9;3;5;4;4;6;3;4;0;5;1147.011963;0;0.205414013;0;0
"105";"ELT";0.039906097;8.130477912;5;1;325.7376747;8;12;2;6;2;5;7;5;2;4;6;1213.583984;1;0.162420382;0;0
"106";"NDF";0;4.176878754;10;3;269.9606756;11;13;4;7;3;5;9;4;5;3;5;1230.557617;3;0.47133758;0;0
"107";"NDF";0;11.44693542;40;8;363.6660341;8;9;2;6;2;4;7;2;2;2;5;1230.672119;2;0.138535032;0;0
"108";"NDF";0;0.995086524;5;2;392.9887993;10;12;4;6;5;2;7;5;5;4;3;1167.925781;3;0.579617834;0;0
"109";"LSD";0;90.12438667;10;4;153.6257918;9;10;3;6;3;4;6;4;4;2;4;1136.585938;2;1.006369427;1;1
"110";"LSD";0;79.90779753;45;3;188.6856198;7;7;2;5;2;4;5;2;2;1;4;1144.749268;1;0.170382166;0;0
"111";"LSD";0;88.71991338;25;3;137.3707806;9;10;3;6;2;5;7;3;2;2;6;1119.889404;2;0.192675159;0;0
"112";"NDF";0;0.323947163;0;1;466.9331639;11;14;4;7;5;4;9;5;6;3;5;1124.168945;2;0.24044586;0;0
"113";"LSD";0;89.97714147;35;2;106.1356611;10;10;3;7;3;4;7;3;3;3;4;1091.121948;3;0.390127389;0;0
"114";"LSD";2.667259756;93.2542269;5;2;55.7769991;5;6;1;4;0;3;5;1;0;2;4;1235.088013;2;0.175159236;0;0
"115";"LSD";79.29408053;85.81519324;85;1;158.7254031;11;11;2;9;2;6;9;2;2;3;6;1230.44104;3;0.114649682;0;0
"116";"LSD";59.18316312;71.33771042;65;1;158.4066774;11;14;3;8;2;8;10;4;2;2;10;1259.509033;1;2.095541401;2;2
"117";"LSD";1.558257604;98.16782235;15;1;190.5979741;8;10;1;7;0;5;9;1;0;3;7;1251.697998;3;0.183121019;0;0
"118";"LSD";87.28547481;87.28547481;75;1;76.49417019;7;8;1;6;1;5;7;1;1;1;6;1217.735962;1;0.098726115;0;0
"119";"LSD";63.17072264;76.37730851;45;1;123.6655751;7;8;0;7;0;6;8;0;0;1;7;1271.748047;1;1.042993631;1;1
"120";"ELT";1.593603805;54.52911835;55;4;166.0560944;10;11;3;7;3;6;7;4;3;2;6;1175.921021;1;0.315286624;0;0
"121";"ELT";0;7.436195738;5;2;286.8531382;8;11;3;5;3;4;7;4;4;2;5;1108.725342;1;0.246815287;0;0
"122";"SSD";0;48.43924773;35;9;224.7016249;9;13;4;5;3;2;8;5;6;4;3;1066.656006;4;1.369426752;1;1
"123";"SSD";2.657775856;21.71581679;40;8;260.3989043;12;13;3;9;3;7;10;3;3;2;8;1074.162964;2;0.361464968;0;0
"124";"SSD";0;95.5560627;15;6;29.32276524;9;11;2;7;1;5;8;3;1;4;6;929.455994;3;0.113057325;0;0
"125";"NDF";0;0.283314889;0;1;418.4868561;9;10;3;6;3;3;6;4;4;3;3;812.388977;3;0.170382166;0;0
"126";"NDF";0;3.470693861;3;1;342.3114116;8;12;3;5;2;4;8;4;4;3;5;1132.411621;2;0.374203822;0;0
"127";"NDF";2.732161757;6.353602558;0;1;332.1121889;14;18;7;7;5;4;10;8;8;5;5;1121.145508;5;2.049363057;2;2
"128";"NDF";0;5.888107624;20;4;341.9926859;11;12;4;7;6;3;8;4;7;2;3;1123.824219;2;1.218152866;1;1
"129";"NDF";0;1.493521591;10;1;345.179943;8;11;3;5;3;3;7;4;5;2;4;1178.840088;2;0.323248408;0;0
"130";"NDF";0;3.473428731;0;1;392.6700736;9;11;5;4;3;2;6;5;4;4;3;1177.57373;4;0.348726115;0;0
"131";"NDF";0;0.392051332;3;1;372.9090797;9;12;4;5;3;4;7;5;6;2;4;1148.943848;2;0.444267516;0;0
"132";"NDF";0;0.575610835;0;2;374.5027082;7;9;3;4;3;1;6;3;5;3;1;1153.810791;3;0.312101911;1;1
"133";"LSD";0.090794881;100;10;1;31.23511949;8;8;2;6;1;5;6;2;1;2;5;1354.760498;2;0.286624204;0;0
"134";"ELT";28.149132;92.09495484;50;1;109.3229182;7;7;2;5;0;5;5;2;0;2;5;1242.865356;2;0.114649682;0;0
"136";"LSD";0;100;25;1;52.90846771;5;6;0;5;1;3;6;0;1;1;4;1318.633179;1;0.085987261;0;0
"137";"LSD";37.41480584;100;70;1;52.2710163;8;8;1;7;0;5;7;1;0;3;5;1278.803833;3;1.03343949;1;1
"138";"LSD";18.12724448;94.34496939;75;1;184.8609113;9;9;2;7;4;4;7;2;4;1;4;1201.682983;1;0.267515924;0;0
"140";"LSD";0;100;10;1;41.43434219;7;8;2;5;1;5;6;2;1;1;6;1347.187988;1;1.113057325;1;1
"141";"NDF";0;3.868055616;3;1;407.650182;4;5;1;3;2;2;4;1;2;0;3;1085.932983;0;0.097133758;0;0
"142";"LSD";3.762076882;85.9247702;0;5;162.2313859;9;9;1;8;3;3;8;1;3;3;3;1101.843018;3;0.117834395;0;0
"143";"SSD";0;58.62514012;5;9;195.060134;8;8;2;6;2;3;6;2;2;3;3;1049.501953;3;0.108280255;0;0
"144";"LSD";2.785809185;92.4931666;0;2;87.96829572;9;10;1;8;3;2;9;1;4;3;2;1129.48999;3;0.187898089;0;0
"145";"ELT";3.026573179;34.10006341;30;1;291.3152981;7;8;3;4;1;4;4;4;2;2;4;1148.225952;2;1.160828025;1;1
"N1";"LSD";1.688593662;91.62597865;25;1;63.74514182;12;13;6;6;4;4;6;7;5;4;4;1092.665039;4;0.689490446;0;0
"N108";"NDF";0;0.237800504;5;1;347.0922972;9;11;4;5;4;2;7;4;5;3;3;842.31897;3;0.377388535;0;0
"N2";"NDF";0;4.285576899;0;1;362.0724056;10;11;4;6;4;2;7;4;5;3;2;765.834717;3;1.21656051;1;1
"N2DK";"NDF";0;2.051098341;3;1;407.650182;5;6;2;3;2;1;4;2;2;2;2;1089.602051;2;0.214968153;0;0
"N3DK";"NDF";0;0.467117776;15;1;364.9409369;10;11;4;6;5;2;6;5;6;3;2;1044.613037;3;0.326433121;0;0
"N4DK";"NDF";0;1.16773081;10;2;387.889188;9;12;3;6;3;4;8;4;4;3;5;1080.119019;2;0.170382166;0;0
"N5DK";"NDF";0;0.58680837;0;1;347.0922972;8;12;4;4;5;2;7;5;7;1;4;1118.906006;1;0.557324841;0;0
"N6DK";"SSD";0.670802257;71.54693297;50;6;165.418643;10;12;2;8;3;6;9;3;3;2;7;1084.244019;1;0.313694268;0;0
"NX";"SSD";15.84150432;21.14837532;90;8;328.2874804;14;15;6;8;5;6;8;7;5;4;6;832.84198;3;1.031847134;1;1
"NX101";"ELT";0;8.77942785;0;1;299.2834409;13;15;6;7;6;4;8;7;7;4;4;1213.129028;3;0.530254777;0;0
"NX102";"NDF";0;0.339460178;0;4;305.3392293;10;11;3;7;2;4;8;3;3;4;4;986.763;4;0.171974522;0;0
